name,description,coverImage,cards,privacy,language,deleted,createdAt,updatedAt
,,,,,,,,
,,,,,,,,
French class Marie 14.10,,,"### Card 1
Front
* deviner.  Devine comment il s'appelle.

Back
* guess

### Card 2
Front
* la campagne

Back
* countryside

### Card 3
Front
* loin. loin de la ville

Back
* far

### Card 4
Front
* faire des feux

Back
* make fire

### Card 5
Front
* regaler .je vais me régaler !

Back
* thi?t dãi.Tôi s? t?n hu?ng nó

### Card 6
Front
* prendre des cours de + môn h?c

Back
* tham gia l?p h?c nào

### Card 7
Front
* faire de la luge

Back
* tru?t bang

### Card 8
Front
* la premier fois

Back
* the first time

### Card 9
Front
* peut être

Back
* may be

### Card 10
Front
* même. Ils vont meme peut etre essayer de monter sur des skis pour la premiere fois

Back
* even. they may even be trying to get on skis for the first time

### Card 11
Front
* rires

Back
* laugh

### Card 12
Front
* très  drôle

Back
* very funny

### Card 13
Front
* la plage

Back
* the beach

### Card 14
Front
* monter

Back
* climb, ascend

### Card 15
Front
* cocher. Coche les bonnes reponses

Back
* check, tick",Everyone,en,TRUE,16-10-19 20:18,14-04-20 21:23
Direction + gi?i t? ch? v? trí + giao thông,,,"### Card 1
Front
* Sur ta gauche!

Back
* on your left

### Card 2
Front
* intérieur

Back
* inside

### Card 3
Front
* Je tourne à droite

Back
* I am turning right

### Card 4
Front
* Ces positions n'existent pas

Back
* Those positions n'existent pas

### Card 5
Front
* entrée

Back
* hall

### Card 6
Front
* La Terre tourne

Back
* The earth turns

### Card 7
Front
* Nous tournons notre chaise vers la fenêtre

Back
* We turn our chair toward the window

### Card 8
Front
* Elle est au centre du village

Back
* It is in the center of the village

### Card 9
Front
* Il y a un panneau rouge avec un ""croix"" blanch

Back
* There is a red sign with a white ""cross""

### Card 10
Front
* Elle ""fait un pas dans"" le jardin

Back
* She steps into the garden

### Card 11
Front
* Les femmes passent ""l'arrivée"" en voiture

Back
* The women cross ""the finish line"" by car

### Card 12
Front
* ""L'extérieur"" de ce bol est sale

Back
* The outside of that bowl is dirty

### Card 13
Front
* La sortie est ici

Back
* The exit is here

### Card 14
Front
* je regarde ""en direction du"" jeune roi

Back
* I look ""toward"" the young king

### Card 15
Front
* L'arrivée est à Paris

Back
* The arrival is in Paris

### Card 16
Front
* Ce n'est pas une ""si"" grande distance

Back
* It is not such a big distance

### Card 17
Front
* Je suis perdu

Back
* I'm lost

### Card 18
Front
* longez-la et, au feu, tournez a` gauche

Back
* walk along it and at the traffic lights, turn left

### Card 19
Front
* prenez la premie`re rue a` droite

Back
* take the first street on the right

### Card 20
Front
* Il y a un pont 200 me`tres plus loin

Back
* There is a bridge 200 meters away

### Card 21
Front
* traversez-le !

Back
* cross it !

### Card 22
Front
* après

Back
* next to

### Card 23
Front
* tracez l'itinéraire

Back
* trace the route

### Card 24
Front
* continuez/allez + tout droit/en direction de ../a` gauche/a` droite

Back
* continue / go + straight ahead / towards ../ left / right

### Card 25
Front
* tournez + a` gauche/a` droite

Back
* turn left/right

### Card 26
Front
* prenez + la premie`re rue/sur la droite/a` gauche

Back
* take + the first street / on the right / left

### Card 27
Front
* traversez le pont

Back
* cross the bridge

### Card 28
Front
* longez la station-service/le parc

Back
* walk along the gas station/the park

### Card 29
Front
* carrefour

Back
* crossroads

### Card 30
Front
* feu (n)

Back
* fire (n)

### Card 31
Front
* jusque(prepo)

Back
* until

### Card 32
Front
* loin (adv)

Back
* far

### Card 33
Front
* te´le´phonez a` la standardiste

Back
* call the operator

### Card 34
Front
* indiquez bien l'endroit o`u vous êtes

Back
* indicate the place where you are

### Card 35
Front
* longez d'abord. Longez d'abordl e parking.

Back
* wark along. walk along the parking.

### Card 36
Front
* Allez tout droit jusqu'au. Allez tout droit jusqu'au feu rouge

Back
* Go straight until. go straight until the red light.

### Card 37
Front
* tout-terrain. Elle a acheté un vélo tout-terrain.

Back
* all terrain(t?t c? các d?a hình)

### Card 38
Front
* vélo de cours

Back
* race bike

### Card 39
Front
* un antivol

Back
* a lock

### Card 40
Front
* entre. Le cinéma est entre la gare et le théâtre

Back
* between

### Card 41
Front
* sur la place du marché. La pharmacie est sur la place du marché

Back
* on the market place

### Card 42
Front
* être au bout de. La bibliothèque au bout de l'avenue Foch.

Back
* at the end of

### Card 43
Front
* être en face de = devant

Back
* in front of

### Card 44
Front
* être à droit. La poste est à droite de l'hôpital

Back
* on the right

### Card 45
Front
* être dans le. La gare est dans l'avenue Foch.

Back
* to be in the. The station is in avenue Foch.

### Card 46
Front
* être à côte de. L'hopital est à côte de la place.

Back
* be next to sthing

### Card 47
Front
* passer à. Passer à la pharmacie

Back
* go to the pharmacie.

### Card 48
Front
* rendre. rendre un livre à la bibliothique.

Back
* return

### Card 49
Front
* ""au coin du"" boulevard des mare´chaux

Back
* at the corner of

### Card 50
Front
* traversez la rivière

Back
* cross the river

### Card 51
Front
* L'office de tourisme est ""un peu plus loin à droite""

Back
* a little bit further to the right

### Card 52
Front
* face à la mer

Back
* in front of the sea

### Card 53
Front
* derrière

Back
* behind

### Card 54
Front
* en face de vous

Back
* in front of you

### Card 55
Front
* au coin de la rue

Back
* at the street corner

### Card 56
Front
* près de. Près de chez vous

Back
* near. Near your house

### Card 57
Front
* sur. Vous allez régulièrement sur Internet ?

Back
* on. You regularly go on the Internet?

### Card 58
Front
* loin. loin de la ville

Back
* far. far from the city

### Card 59
Front
* tourner avant. on tourne avant la rivière.

Back
* turn before

### Card 60
Front
* prenez la deuxième à gauche

Back
* take the second left

### Card 61
Front
* entrer. vous entrez dans la village.

Back
* come in

### Card 62
Front
* l'autoroute

Back
* Highway

### Card 63
Front
* sous. sous la table

Back
* under. under the table

### Card 64
Front
* il est au-dessus de tout

Back
* above. He is above everything.

### Card 65
Front
* au-dessous. Il est au-dessous de tout.

Back
* below. He is below everything",Everyone,en,FALSE,1/11/2018 17:16,21-05-20 11:52
Notebook French class Mairie,,,"### Card 1
Front
* la montagne

Back
* mountain

### Card 2
Front
* chanter

Back
* sing

### Card 3
Front
* danser

Back
* danse

### Card 4
Front
* lire

Back
* read

### Card 5
Front
* corrigez le erreurs

Back
* correct the errors

### Card 6
Front
* promener vs marcher

Back
* promener : di và nhìn ng?m xung quanh
* marcher : ch? don thu?n là di

### Card 7
Front
* on est en retard

Back
* We are late

### Card 8
Front
* on a faim et soif

Back
* we are hungry and thirsty

### Card 9
Front
* dicter

Back
* dictate(ra l?nh)

### Card 10
Front
* devenir. Léna est devenue rapidement un bébé calme

Back
* become

### Card 11
Front
* perdre. Le petit visage de ma Léna avait perdu ses rondeurs

Back
* lost. The little face of my Lena had lost its curves

### Card 12
Front
* barrer

Back
* block, remove

### Card 13
Front
* porter les pots à bout de bras du magasin à la maison

Back
* carry the pots at arm's length from the store to the house

### Card 14
Front
* diposer. Diposer du papier journal sur le carrelage

Back
* dispose. Put some newspaper on the tiles

### Card 15
Front
* protéger. Protéger le bord des fênetres

Back
* protect. Protect the edge of the windows

### Card 16
Front
* enfiler. Enfiler de vieux vêtements

Back
* put on. Put on old clothes

### Card 17
Front
* prêter. Elle était prête

Back
* ready. She was ready

### Card 18
Front
* debout là-dedans !

Back
* standing in there !

### Card 19
Front
* jouer

Back
* player

### Card 20
Front
* tout le monde

Back
* everybody

### Card 21
Front
* même. Ils habitent dans la même ville

Back
* same(adj)

### Card 22
Front
* compagnon. Il n'a pas d'amis et son seul compagnon, c'est son chien.

Back
* companion

### Card 23
Front
* facile

Back
* easy

### Card 24
Front
* libre. Elle a un vie très libre.

Back
* free. She has a very free life.

### Card 25
Front
* rire. Elle adore rire

Back
* laugh

### Card 26
Front
* tout les sépare mais ...

Back
* everything separates them but ...

### Card 27
Front
* personnage. Ils sont des personnages de roman

Back
* character

### Card 28
Front
* la routine

Back
* routine

### Card 29
Front
* lieu = endroit. un droit préféré

Back
* place. A favorite place

### Card 30
Front
* insérer

Back
* insert

### Card 31
Front
* courir. Je doit courir

Back
* run

### Card 32
Front
* arriver. Il peut arriver à temps.

Back
* arrive

### Card 33
Front
* bruit

Back
* noise

### Card 34
Front
* le moine

Back
* the monk(nhà su)

### Card 35
Front
* je veux => je voudrais

Back
* more polite. Nên dùng trong nhà hàng or mua s?m

### Card 36
Front
* la plage,la mer

Back
* the beach,the sea

### Card 37
Front
* très fatigué = épvisé

Back
* tired",Everyone,en,FALSE,6/12/2018 23:11,14-04-20 21:13
Gi?i t? ch? v? trí French,,,"### Card 1
Front
* derrière

Back
* behind

### Card 2
Front
* en face de vous

Back
* in front of you

### Card 3
Front
* au coin de la rue

Back
* at the street corner

### Card 4
Front
* près de. Près de chez vous

Back
* near. Near your house

### Card 5
Front
* sur. Vous allez régulièrement sur Internet ?

Back
* on. You regularly go on the Internet?",Everyone,en,TRUE,12/12/2018 21:38,14-04-20 21:08
,,,,,,,,
French Assystem 20.6,,,"### Card 1
Front
* cet ""élève"" ""a du mal à"" ne plus ""grignoter"" entre les repas

Back
* this ""student"" ""has a hard time"" not to ""nibble"" between meals

### Card 2
Front
* Je ne vous ai pas encore ""autorise"" a sortir de table

Back
* I have not ""allowe""d you to leave the table yet

### Card 3
Front
* j'(ai appris à) comprendre l'exercice

Back
* I learned to understand the exercise

### Card 4
Front
* devoirs

Back
* homework

### Card 5
Front
* Les activite´s quotidiennes

Back
* daily activities

### Card 6
Front
* Les loisirs

Back
* The hobbies

### Card 7
Front
* billet

Back
* ticket

### Card 8
Front
* rendre un livre à la bibliothèque

Back
* return a book to the library",Everyone,en,TRUE,20-06-19 16:41,14-04-20 21:28
,,,,,,,,
,,,,,,,,
